ts,db,c1_idx,c1_cf,c1_name,c2_idx,c2_cf,c2_name,c3_idx,c3_cf,c3_name
1746657489.08778,-33.5,0,99.9,Speech,3,0.6,"Narration, monologue",500,0.5,"Inside, small room"
1746657492.1559439,-36.6,0,97.5,Speech,500,0.8,"Inside, small room",3,0.2,"Narration, monologue"
1746657495.146888,-32.1,0,99.9,Speech,500,0.4,"Inside, small room",3,0.3,"Narration, monologue"
1746657498.138985,-36.3,0,100.0,Speech,3,1.4,"Narration, monologue",500,0.2,"Inside, small room"
1746657501.123314,-37.2,0,100.0,Speech,500,4.4,"Inside, small room",3,0.1,"Narration, monologue"
1746657504.109966,-35.5,0,99.9,Speech,500,1.6,"Inside, small room",3,1.1,"Narration, monologue"
1746657507.095426,-33.7,0,99.9,Speech,500,0.4,"Inside, small room",3,0.2,"Narration, monologue"
1746657510.162279,-37.8,0,99.0,Speech,500,3.1,"Inside, small room",2,3.0,Conversation
1746657513.147846,-33.0,0,99.9,Speech,3,1.5,"Narration, monologue",500,0.4,"Inside, small room"
1746657516.142457,-34.9,0,100.0,Speech,500,1.5,"Inside, small room",501,0.4,"Inside, large room or hall"
1746657519.129899,-39.1,0,99.4,Speech,3,0.7,"Narration, monologue",2,0.2,Conversation
1746657522.117512,-29.9,0,100.0,Speech,500,1.2,"Inside, small room",3,0.1,"Narration, monologue"
1746657525.101763,-33.9,0,95.2,Speech,132,2.2,Music,500,0.4,"Inside, small room"
1746657528.088414,-26.6,0,98.5,Speech,2,1.2,Conversation,500,1.1,"Inside, small room"
1746657531.1533701,-36.0,0,99.4,Speech,500,1.6,"Inside, small room",378,0.3,Typing
1746657534.147024,-31.1,0,99.5,Speech,3,0.8,"Narration, monologue",500,0.2,"Inside, small room"
1746657537.1363819,-38.1,0,99.9,Speech,3,0.3,"Narration, monologue",500,0.1,"Inside, small room"
1746657540.122405,-30.8,0,100.0,Speech,500,0.6,"Inside, small room",501,0.0,"Inside, large room or hall"
1746657543.107038,-37.4,0,99.7,Speech,3,0.6,"Narration, monologue",500,0.4,"Inside, small room"
1746657546.0905201,-32.7,0,99.9,Speech,3,0.4,"Narration, monologue",500,0.1,"Inside, small room"
1746657549.15848,-41.2,0,81.8,Speech,378,8.4,Typing,380,6.1,Computer keyboard
1746657552.151913,-26.9,0,99.5,Speech,3,0.1,"Narration, monologue",500,0.0,"Inside, small room"
1746657555.141108,-32.9,0,94.1,Speech,132,9.1,Music,3,0.4,"Narration, monologue"
1746657558.119997,-31.5,0,99.9,Speech,3,0.3,"Narration, monologue",500,0.1,"Inside, small room"
1746657561.1130722,-37.1,0,97.2,Speech,500,3.0,"Inside, small room",381,0.2,Writing
1746657564.0985339,-31.2,0,99.8,Speech,500,1.1,"Inside, small room",2,0.9,Conversation
1746657567.078517,-37.0,0,99.2,Speech,500,2.9,"Inside, small room",3,0.1,"Narration, monologue"
1746657570.155772,-38.8,0,99.1,Speech,485,2.3,Clicking,3,1.5,"Narration, monologue"
1746657573.1407108,-41.0,0,99.6,Speech,3,1.3,"Narration, monologue",500,0.7,"Inside, small room"
1746657576.1263459,-40.5,0,96.1,Speech,378,2.6,Typing,380,1.9,Computer keyboard
1746657579.1171641,-37.4,0,98.1,Speech,3,0.5,"Narration, monologue",378,0.4,Typing
1746657582.104248,-40.0,0,65.5,Speech,378,45.3,Typing,380,35.6,Computer keyboard
1746657588.1558661,-33.2,0,98.2,Speech,500,0.3,"Inside, small room",3,0.2,"Narration, monologue"
